1  0.00
1 : 0.00 2 : 39.00 3 : 0.00 4 : 68.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 322.00 2 : 9.00 3 : 0.00 4 : 0.00
1 : 39.00 2 : 117.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 351.00 3 : 39.00 4 : 117.00
1 : 0.00 2 : 498.00 3 : 39.00 4 : 253.00
1 : 0.00 2 : 341.00 3 : 0.00 4 : 341.00
1 : 0.00 2 : 39.00 3 : 0.00 4 : 166.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 371.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 68.00 2 : 19.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 126.00 3 : 58.00 4 : 39.00
1 : 0.00 2 : 322.00 3 : 87.00 4 : 195.00
1 : 0.00 2 : 332.00 3 : 29.00 4 : 380.00
1 : 0.00 2 : 29.00 3 : 0.00 4 : 156.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 175.00 2 : 0.00 3 : 0.00 4 : 0.00
